resultado:
it 1: (0.5, 10375.0)
it 2: (1.0, 10764.0625)
it 3: (1.5, 11167.71484375)
it 4: (2.0, 11586.504150390625)
it 5: (2.5, 12020.998056030274)
it 6: (3.0, 12471.785483131409)
it 7: (3.5, 12939.477438748836)
it 8: (4.0, 13424.707842701917)
it 9: (4.5, 13928.134386803238)
it 10: (5.0, 14450.43942630836)
it 11: (5.5, 14992.330904794922)
it 12: (6.0, 15554.543313724733)
it 13: (6.5, 16137.83868798941)
it 14: (7.0, 16743.00763878901)
it 15: (7.5, 17370.8704252436)
it 16: (8.0, 18022.278066190236)
it 17: (8.5, 18698.11349367237)
it 18: (9.0, 19399.292749685083)
it 19: (9.5, 20126.766227798274)
it 20: (10.0, 20881.51996134071)
it 21: (10.5, 21664.576959890986)
it 22: (11.0, 22476.9985958869)
it 23: (11.5, 23319.88604323266)
it 24: (12.0, 24194.381769853884)
it 25: (12.5, 25101.671086223403)
it 26: (13.0, 26042.98375195678)
it 27: (13.5, 27019.59564265516)
it 28: (14.0, 28032.830479254728)
it 29: (14.5, 29084.06162222678)
it 30: (15.0, 30174.713933060288)
it 31: (15.5, 31306.26570555005)
it 32: (16.0, 32480.250669508176)
it 33: (16.5, 33698.260069614735)
it 34: (17.0, 34961.94482222529)
it 35: (17.5, 36273.01775305874)
it 36: (18.0, 37633.255918798444)
it 37: (18.5, 39044.503015753384)
it 38: (19.0, 40508.671878844136)
it 39: (19.5, 42027.747074300794)
it 40: (20.0, 43603.787589587075)
